City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
230,flying fish cove,-10.4217,105.6791,22.82,88,40,3.09,CX,1694212604
231,amga,60.8953,131.9608,1.94,98,98,4.13,RU,1694212604
232,doume,4.2333,13.45,20.31,98,100,2.8,CM,1694212604
233,chickasha,35.0526,-97.9364,38.09,34,0,7.72,US,1694212484
234,kourou,5.1552,-52.6478,28.03,78,8,5.86,GF,1694212604
235,sanandaj,35.3144,46.9923,15.01,29,0,0.0,IR,1694212605
236,antsiranana,-12.2787,49.2917,23.1,78,3,7.39,MG,1694212605
237,debark',13.1561,37.8981,10.34,72,35,0.67,ET,1694212605
238,praia da vitoria,38.7333,-27.0667,21.14,73,40,6.41,PT,1694212606
239,howrah,22.5892,88.3103,27.0,100,40,2.06,IN,1694212606
240,al artawiyah,26.5053,45.3444,30.07,18,0,2.77,SA,1694212606
241,beeville,28.4008,-97.7483,39.1,22,0,2.57,US,1694212606
242,port macquarie,-31.4333,152.9167,16.05,38,0,3.14,AU,1694212606
243,ipala,14.6167,-89.6167,30.62,74,69,1.98,GT,1694212607
244,rio preto da eva,-2.6994,-59.6997,31.94,30,40,1.28,BR,1694212607
245,huntsville,34.7304,-86.5861,28.97,59,20,4.12,US,1694212419
246,khandyga,62.6667,135.6,1.13,88,100,3.31,RU,1694212607
247,cam ranh,11.9214,109.1591,24.98,94,0,0.0,VN,1694212607
248,kingston,17.997,-76.7936,31.53,70,20,8.75,JM,1694212490
249,batticaloa,7.7102,81.6924,26.72,74,93,0.89,LK,1694212608
250,queimadas,-10.9783,-39.6264,25.02,52,75,6.54,BR,1694212608
251,medina,24.4686,39.6142,35.24,8,0,0.0,SA,1694212608
252,qui nhon,13.7667,109.2333,26.4,84,92,1.51,VN,1694212608
253,giyani,-23.3025,30.7187,20.81,45,0,0.99,ZA,1694212609
254,sinabang,2.4803,96.3801,25.44,85,100,2.16,ID,1694212609
255,serpukhov,54.9214,37.4108,6.23,94,65,2.87,RU,1694212609
256,rahimah,26.7079,50.0619,32.12,75,0,2.0,SA,1694212609
257,isangel,-19.55,169.2667,23.56,75,67,7.01,VU,1694212609
258,nurota,40.5614,65.6886,20.81,43,99,1.9,UZ,1694212610
259,salym,60.0625,71.4789,8.31,89,29,0.39,RU,1694212610
260,susanville,40.4163,-120.653,28.23,31,0,2.24,US,1694212610
261,harstad,68.799,16.5293,15.09,90,100,15.65,NO,1694212610
262,walvis bay,-22.9575,14.5053,12.53,94,52,1.03,NA,1694212610
263,sur,22.5667,59.5289,28.18,64,83,4.2,OM,1694212611
264,barro alto,-11.7608,-41.9117,21.91,60,17,5.25,BR,1694212611
265,zaragoza,41.6561,-0.8773,25.25,58,40,4.12,ES,1694212611
266,vershino-darasunskiy,52.35,115.5167,6.74,87,83,1.72,RU,1694212611
267,kalaleh,37.3807,55.4916,22.82,68,7,0.51,IR,1694212611
268,bunia,1.5667,30.25,18.65,81,86,0.42,CD,1694212612
269,katsuren-haebaru,26.3369,127.8719,27.43,78,0,0.0,JP,1694212612
270,mata-utu,-13.2816,-176.1745,27.04,80,79,7.09,WF,1694212612
271,nishinoomote,30.7333,131.0,26.6,75,39,3.07,JP,1694212612
272,kintinku,-5.8833,35.2333,22.54,54,9,3.15,TZ,1694212612
273,aswan,24.0934,32.907,35.61,16,0,2.06,EG,1694212613
274,zuera,41.8677,-0.7898,24.73,50,1,4.46,ES,1694212613
275,tomatlan,19.9333,-105.25,32.7,61,50,4.12,MX,1694212613
276,grande prairie,55.1667,-118.8027,20.1,34,20,5.66,CA,1694212539
277,quellon,-43.1167,-73.6167,10.14,87,100,6.17,CL,1694212613
278,krupka,50.6845,13.8582,19.45,74,11,6.26,CZ,1694212614
279,merizo village,13.2658,144.6691,27.85,95,100,9.59,GU,1694212614
280,carnarvon,-24.8667,113.6333,18.18,82,0,1.33,AU,1694212614
281,utete,-7.986,38.758,20.69,95,9,1.47,TZ,1694212615
282,amurzet,47.6967,131.0981,11.92,55,7,4.06,RU,1694212339
283,dampit,-8.2116,112.7493,17.4,88,7,1.8,ID,1694212615
284,khetia,21.6667,74.5833,24.8,95,100,4.65,IN,1694212615
285,kirakira,-10.4544,161.9205,27.93,74,100,5.69,SB,1694212615
286,karachi,24.9056,67.0822,27.9,74,40,5.66,PK,1694212615
287,olavarria,-36.8927,-60.3225,11.12,46,83,2.79,AR,1694212616
288,namibe,-15.1961,12.1522,17.86,87,71,4.78,AO,1694212616
289,manakara,-22.1333,48.0167,18.46,92,4,2.36,MG,1694212616
290,mount isa,-20.7333,139.5,17.87,19,60,5.14,AU,1694212616
291,mokhsogollokh,61.4681,128.9203,2.21,97,100,4.36,RU,1694212616
292,chinde,26.8418,88.0763,17.35,94,100,2.1,NP,1694212617
293,road town,18.4167,-64.6167,30.05,74,40,3.09,VG,1694212566
294,neka,36.6508,53.299,21.49,81,0,1.49,IR,1694212617
295,gereida,11.2811,25.1414,27.04,63,78,2.63,SD,1694212617
296,jamestown,42.097,-79.2353,21.12,78,0,4.12,US,1694212517
297,sarmiento,-45.5882,-69.07,9.32,56,40,3.35,AR,1694212618
298,tazovsky,67.4667,78.7,7.98,96,100,4.1,RU,1694212618
299,simanggang,1.2472,111.4528,23.27,96,77,0.55,MY,1694212618
300,dokkum,53.3222,5.997,21.65,99,100,0.51,NL,1694212618
301,changzhi,35.2089,111.7386,22.59,88,85,1.27,CN,1694212618
302,north bend,43.4065,-124.2243,25.69,68,0,9.26,US,1694212619
303,oblivskaya,48.5362,42.5014,14.76,50,99,3.93,RU,1694212619
304,uturoa,-16.7333,-151.4333,25.93,74,44,2.84,PF,1694212619
305,usogorsk,63.4106,48.6872,11.13,95,97,1.69,RU,1694212619
306,hradyz'k,49.2346,33.1361,15.39,48,75,4.63,UA,1694212619
